date_documented,date,time,described_duration,described_ufo,full_description,city,state,latitude,longitude
11/2/1999,1/15/1995,12:00 pm,2 weeks,,man called to enquire about all the strange sighting that had been reported in his area during recent past.,gorham,me,43.6794444,-70.4447222
11/2/1999,11/5/1995,09:45 pm,5 min.,,"woman &amp  9-yr. daughter heard ""sirens"" then noticed obj. sitting above nearby trees.  looked ""like xmas lights.""  followed them.",champaign,il,40.1163889,-88.2433333
11/2/1999,11/5/1995,11:20 pm,7 sec.,,"nurse returning home sees ""bright white light shoot over her truck, straight ahead (of her).""  upset.  possible phy. effect on car.",mascoutah,il,38.4902778,-89.7930556
11/2/1999,1/15/1995,11:43 pm,2 minutes,,"police officer on patrol witnesses triangular pattern of three lights.  they rotate twice, then depart west.",poulsbo,wa,47.7361111,-122.6452778
11/9/1999,11/5/1999,12:30 am,1-2 seconds,,a bright light in our bed room for a second or two.,santa rosa,ca,38.4405556,-122.7133333
1/22/2000,1/15/2000,02:45 am,3 hours,,"my friend and i went out to a club, stopped for mcdonalds on the way home.  arrived home around 2:45 am friday night.  as we pulled in",monroe,ct,41.3325,-73.2077778
1/22/2004,1/15/2004,10:10 pm,3 seconds,,massive light illumination,barstow,ca,34.8986111,-117.0219444
11/2/1999,11/6/1995,12:15 am,20 sec.,,"anon. rpt. of bizarre obj. that ""looked like the shuttle"" moving s to n across sky, 20 deg. in 20 sec.. visible exhaust plume. bright.",st. augustine,fl,29.8944444,-81.3147222
11/2/1999,1/16/1995,12:20 am,10 sec.,,young man sees very brightly lighted object streak across the sky and disappear behind a stand of trees.,renton,wa,47.4830556,-122.2158333
11/2/1999,11/6/1995,12:20 am,30 sec.,,"woman &amp  husband witness ""extremely brilliant white light w/ pink &amp  blue"" in the e sky.  appeared to eject obj. changed shape.",tampa,fl,27.9472222,-82.4586111
11/2/1999,11/6/1995,08:45 pm,5 min.,,"mother (39 yrs.) &amp  son witness bizarre, very brightly lighted disc hovering over rural road.  moved extraordinarily suddenly, fast!",lebanon,or,44.5366667,-122.9058333
11/2/1999,1/16/1996,10:32 pm,5 min.,,"chelan co. sheriff's office calls to relay a report of several bright, orange lights moving east above the wenatchee river.",monitor,wa,47.4869444,-120.4169444
11/2/1999,1/16/1996,10:32 pm,5 min.,,"husband &amp  wife, other observers, see 3 gold spheres, 3' in diam., fly slowly w to e above wenatchee r., then 3 more! fly over e horiz..",monitor,wa,47.4869444,-120.4169444
11/11/2003,11/6/2003,05:15 am,15 minutes,,about 5:05 saw a huge ball of shining light that lasted for about 15 minutes.,san jose,ca,37.3394444,-121.8938889
11/9/2004,11/6/2004,08:30 pm,2hr,,object in sky with flashing strobe lights,peebles,oh,38.9488889,-83.4058333
12/12/2009,11/6/2009,07:00 am,5:00,,"to the east in the 10:00 position seen 3 lights sorounding an airplane ,thought to be flying stars ,but when one started zigzagin an th",gulfport,ms,30.3672222,-89.0927778
3/19/2009,1/16/2009,11:20 pm,5 minutes,,orange lights in the sky over clairemont san diego,san diego,ca,32.7152778,-117.1563889
11/11/2013,11/6/2013,09:00 pm,2 minutes,,squadron of red lights.,fort myers,fl,26.6402778,-81.8725
11/2/1999,1/17/1995,04:30 am,73 min.,,woman observes three strange objects hovering in morning sky for 73 minutes.  very bright lights. good rept.,bend,or,44.0583333,-121.3141667
11/2/1999,1/17/1995,11:07 pm,45 min.,,"woman reports unusual blue lights.  (probably lights on neighbor's radio antenna, she later reported.)",seattle,wa,47.6063889,-122.3308333
1/28/1999,11/7/1997,06:45 pm,19:00,,the ufo i had reported has turned out to be an ifo to my relief.  it was the iridium satellite flash. we picked up the satellite naked-,austin,tx,30.2669444,-97.7427778
10/15/2003,1/17/2000,12:00 am,2 minutes,,"i would like to respond to a sighting that was posted here in 2000 from someone in columbia, kentucky.  i read the post and knew finall",columbia,ky,37.1027778,-85.3063889
3/11/2003,1/17/2003,11:35 pm,10 sec,,"i was at the kitchen ,,then i heard a strange sound,.sounded like an ufo hovering on the top of our roof,.n all of a sudden,. all of ou",national city,ca,32.6780556,-117.0983333
1/10/2009,11/7/2008,08:15 pm,3-4 seconds,,triangular lights falling toward earth,palm springs,ca,33.8302778,-116.5444444
11/19/2012,11/7/2012,07:00 pm,2 minutes,,triangle of 3 lights - 2 minutes visable,boulder,co,40.015,-105.27
1/24/2014,1/17/2014,05:00 pm,5 minutes,,2 fireballs in sky.,harrisburg,pa,40.2736111,-76.8847222
11/2/1999,1/18/1995,07:30 pm,1 hour,,anonymous call regarding alleged multiple ufo sighting reports between fairfield and deer lodge for 1 hour.,deer lodge,mt,46.3958333,-112.7291667
11/2/1999,1/18/1996,06:30 am,5 min.,,"woman &amp  husband witness double, parallel columns of light going straight up into the sky.  the source of light was in rural area.",fayetteville,ar,36.0625,-94.1572222
2/16/2000,1/18/2000,07:45 am,10 min,,event reported to be a meteorite streaked through the skies at aprox o745 hrs tues 18 jan.  it was reported to have impacted in the mts,juneau,ak,58.3019444,-134.4197222
1/22/2000,1/18/2000,06:39 pm,10 seconds,,"bright white light appeared over the city, slowed, and disappeared. from - wed jan 19 10:09:11 2000 received: from www.nwlink.com (www.",los angeles,ca,34.0522222,-118.2427778
11/9/2002,11/8/2002,12:00 pm,15 minutes,,probably not ufo - but what was it that may have exploded?,houston,tx,29.7630556,-95.3630556
3/11/2003,1/18/2003,09:30 pm,10 minutes,,"three campers witness peculiar lights, accompanied by ""roaring"" sound, in eastern sky.",sequoia national park,ca,36.5641667,-118.7727778
1/10/2009,11/8/2008,04:00 am,5 seconds,,i seen a bright green light with a green streak behind it headed toward the ground at a massive speed. i looked for an impact but their,mt. dora,nm,36.5194444,-103.4886111
1/21/2008,1/18/2008,07:40 pm,10 - 15 seconds,,"while on greenhill road in madison, connecticut, coming from killingworth, connecticut, at approximately 7:40 p.m. last night, on frida",madison,ct,41.2794444,-72.5988889
3/19/2009,1/18/2009,05:00 pm,4 hours,,one mother ship with four smaller destinct satellite objects moving randomly.,garibaldi,or,45.56,-123.9097222
11/21/2010,11/8/2010,06:55 am,3 min,,brighter then every star and planet then slowly dimmed to nothing,omaha,ne,41.2586111,-95.9375
2/14/2010,1/18/2010,05:35 pm,3 seconds,,one huge bright round light falling straight down behind round top park,sayre,pa,41.9788889,-76.5158333
1/24/2014,1/18/2014,08:45 pm,1 minute,,i was sitting in my family room watching the tv. we have  high  ceilings in the family room with windows and can see the sky. all of a,portland,or,45.5236111,-122.675
11/2/1999,1/19/1995,07:20 pm,1 minute,,woman and daughter witness very bright green light hovering in sky.  descends slowly and disappears.,richland,wa,46.2858333,-119.2833333
3/19/2009,1/19/2009,07:45 pm,15 minutes,,"intermittent flashing light, unmoving, near western shoulder of orion",kaneohe,hi,21.4180556,-157.8036111
11/2/1999,1/20/1995,07:40 pm,5 sec.,,"man witnesses ""very bright orange-red"" object streak down out of the sky and disappear.  no explosion!",branford,ct,41.2794444,-72.8155556
11/2/1999,1/20/1996,10:00 pm,3 min.,,"anonymous caller reports seeing a cigar-shaped craft, with ""8 dim blue and red lights"" along its length.  (no other details provided.)",madison,wi,43.0730556,-89.4011111
3/19/2009,1/20/2009,11:23 pm,2 minutes,,"huge-bright light in sky, subdues in a ball-like object hovering 1000 feet above my neighbors rooftop...",okeechobee,fl,27.2436111,-80.83
8/5/2009,12/10/1982,11:00 pm,7 minutes,,"no sound, flaming ball of fire, moving iratically",huntington,ny,40.8680556,-73.4261111
11/2/1999,12/10/1995,06:00 am,45 min.,,"nurse &amp  daughter see 2 very bright objs. in a.m. sky, flashing red, white, blue lights in constant pattern. both moved.  not stars.",clayton,nm,36.4516667,-103.1836111
11/2/1999,12/10/1995,06:12 pm,15 min.,,"man, neighbor, 6 kids witnessed first three bright objs. in twilight sky, then two others streaked up to 1st 3.  not stars or planets.",phoenix,az,33.4483333,-112.0733333
11/2/1999,12/10/1995,10:45 pm,5 sec.,,man &amp  wife on freeway see round disc w/ red blinking lights streak by.  obj. flipped on edge.  wife saw door or hatch on bottom.,houston,tx,29.7630556,-95.3630556
11/2/1999,12/10/1996,07:55 pm,15 min.,,"3x adult males driving s on hwy. 98 witness large, bright yellow obj. hovering.  obj. begins to expell other objs.! complex sighting.",pensacola,fl,30.4211111,-87.2169444
12/19/2003,12/10/2003,11:00 pm,one hour,,"colored lights arranged in two parellel chains, vertically oriented.",cleveland,ok,36.31,-96.4638889
3/4/2008,12/10/2007,04:45 pm,5 minutes,,"comet-like object moving very slowly east over barre, vermont",barre,vt,44.1969444,-72.5025
12/20/2012,12/10/2012,09:00 pm,15 minutes,,multiple ufos in junction.,grand junction,co,39.0638889,-108.55
12/12/2013,12/10/2013,07:00 pm,~30 minutes,,blue light beams coming from the sky to the ground.,great falls,mt,47.5002778,-111.3
11/2/1999,12/11/1996,05:15 pm,105 sec.,,"pastor repts. seeing a ""bright ball of fire w/ speed of a falling star"" streak w to e. slows, stops, turns 180 deg., shoots to nw.",birmingham,al,33.5205556,-86.8025
11/2/1999,1/21/1995,05:45 am,15 min.,,man out walking during early morning observes three very colorful objects in southwest sky.  they move.,portland,or,45.5236111,-122.675
11/2/1999,12/1/1995,05:20 pm,2 sec.,,"woman in car witnesses ""shooting star"" descend vertically, suddenly stop, suddenly shoot of horizontally.  multiple lights on it.",waukesha,wi,43.0116667,-88.2313889
11/2/1999,1/21/1995,09:50 pm,3 min.,,a man and his fiancee witnessed gigantic triangle hovering in the night sky.  red &amp  blue belly lights.  good rept.,seymour,tn,35.8905556,-83.7247222
11/2/1999,12/1/1995,11:40 pm,18 min.,,"man repts. seeing 4-5 very bright, multi-colored lights in southern night sky.  appear to move, but very little. (twinkling stars?)",orland park,il,41.6302778,-87.8538889
11/2/1999,12/1/1996,07:38 pm,15 sec.,,"two adults witness a big ball of light streak fast across downtown k.c., fly ssw.  white front, bluish middle, red aft.  trail left.",kansas city,mo,39.0997222,-94.5783333
12/19/2003,12/1/2002,09:00 pm,3 secs,,red and green lights ingulf 3 and vincennes university campus,vincennes,in,38.6772222,-87.5286111
3/19/2009,12/1/2008,12:13 am,20 seconds,,large green fireball,statham,ga,33.965,-83.5966667
11/2/1999,12/12/1995,10:30 pm,15 sec.,,"young woman &amp  friend witness bizarre, round obj. w/ intensely bright blue/white lights.  pursued obj. in car   obsrvd. it on ground.",glen,ny,42.8941667,-74.345
12/16/1999,12/12/1999,03:30 am,1:00+ min,,"saw hovering over a field, then slowly moved away as we approached. made almost no sound. u.s. military probable.",la plata,md,38.5291667,-76.9755556
2/14/2010,12/12/2009,06:00 pm,3 seconds,,green glowing ball with red spark like tail  fell fast through sky at horizon,middlesex,ny,42.7047222,-77.2719444
11/2/1999,12/13/1996,09:00 pm,10 min.,,"mother driving w/ 3 children sees several craft in triangular pattern, which split suddenly. they pursue objs., ""catch"" 2x. scared!",detroit,mi,42.3313889,-83.0458333
12/14/2004,12/13/2004,06:27 pm,15-20 seconds,,"date: dec. 13, 2004 sighting time: 06: 28 p.m. c.s.t.location:  alexandria, louisiana  my wife and i were traveling by suv over the",alexandria,la,31.3111111,-92.445
12/14/2004,12/13/2004,10:15 pm,2 seconds,,"hi mr. davenport: just spoke to you about the "" meteorite""  that i saw or think i saw last night,dec. 13, 2004 at approximately 10:15 to",seattle,wa,47.6063889,-122.3308333
3/4/2008,12/13/2007,10:00 am,40 minutes,,we watched for 40 min.and there was a stationary ship with 2 red light docking ships. i tried to take pics but i haven't put them into,jacksonville,or,42.3136111,-122.9658333
3/4/2008,12/13/2007,05:00 pm,10 seconds,,((hoax??))  possible alien voice?,cheney,wa,47.4875,-117.5747222
11/2/1999,12/14/1996,06:08 pm,2 min.,,"father, 2 sons, neighbor witness gray disc pass directly overhead, pause, move off, and hover.  moved extremely fast. not a plane.",west covina,ca,34.09,-117.8894444
11/2/1999,12/14/1996,08:20 pm,6 min.,,"3x adults witness a ""long, narrow disc w/ very bright, cream-colored light"" over tiger mtn.  draws  close to woman, pursues her.",issaquah,wa,47.5302778,-122.0313889
1/11/2005,12/14/2004,10:20 pm,2 seconds,,"hi again mr. davenport:  i wanted to let you know that i spoke to my brother in law, who is a ferry boat captain on the north vashon is",seattle,wa,47.6063889,-122.3308333
12/20/2012,12/14/2012,02:00 am,3 minutes,,horn blast sounds for 3 minutes.,east bridgewater,ma,42.0333333,-70.9597222
2/18/2001,12/15/2000,09:00 pm,.5 seconds,,flare-like object blasts across sky at unthinkable speed over austin texas,austin,tx,30.2669444,-97.7427778
12/16/2005,12/15/2005,08:25 pm,30 sec,,3 objects moving at what apppeared to be high speed.  they were observed to cris-cross.  moving at high speed.  i am close to both orla,orlando,fl,28.5380556,-81.3794444
2/1/2007,12/15/2006,09:15 pm,3 seconds,,sky lights up horizon to horizon for 2-3 seconds on a clear night.,mt. juliet,tn,36.2,-86.5186111
11/2/1999,12/16/1996,08:10 pm,2 sec.,,boeing empl. sees peculiar green streak in e sky.  headed s at very high speed.  streak narrower than kitchen match at arm's length.,everett,wa,47.9791667,-122.2008333
1/28/1999,12/16/1998,11:33 pm,at least 1 min,,"it was 11:33 pm on wednesday 12/16/98 on our way home from miami to marathon florida. |at about 89 mile marker,my wife said : do you se",plantation key,fl,24.9844444,-80.5611111
2/1/2007,12/16/2006,07:03 am,20 seconds,,"very bright  white ball in the eastern sky viewed while eastbound pa turnpike at 7:03am december 16,2006. ((missile launch.))",beaver,pa,40.6952778,-80.305
11/2/1999,12/17/1995,08:15 pm,7 sec.,,"man witnesses 3 orange lights in triangular pattern hover momentarily, glide across sky, pause, pivot, the fade from view.",greenville,nc,35.6125,-77.3666667
11/2/1999,12/17/1996,01:15 am,4 sec.,,"man witnesses a large ""pool of green light"" streak across sky.  size of moon.  covered approx. 80 degrees arc in 4-5 seconds. strange.",morton,wa,46.5586111,-122.2738889
11/2/1999,12/17/1996,02:30 am,15 min.,,"woman awakened by high-pitch buzzing.  goes outside and sees large, very bright,circular disc w/ flat top hovering nearby. frightened.",redmond,wa,47.6741667,-122.1202778
11/2/1999,12/17/1996,06:14 am,3 sec.,,"woman witnesses a blue-green ball of fire, 1/2 dia. of full moon, streak from e to w and intersect the n horizon in almost level flt..",hansville,wa,47.9188889,-122.5530556
11/2/1999,12/17/1996,06:15 am,4 sec.,,"young man sees ""yellow tinged fireball with neon green tail"" streak from e to w in n sky.  tail was curving down, and oddly green.",seattle,wa,47.6063889,-122.3308333
11/2/1999,12/17/1996,06:15 am,3 sec.,,"man sees bright silver-white light in nnw sky descending at 45-60 deg. angle.  very fast, very bright.",tigard,or,45.4313889,-122.7702778
11/2/1999,12/17/1996,06:20 am,2 min.,,"multnomah co. off. at traffic light sees obj. streak from w to e in sw sky.  2 min. later, sees identical event, same trajectory.",portland,or,45.5236111,-122.675
11/2/1999,12/17/1996,06:20 am,3 sec.,,seattle metro bus driver on hwy. i-5 sees blue-green obj. streaking e to w just above buildings in seattle.  thought it was close.,seattle,wa,47.6063889,-122.3308333
11/2/1999,12/18/1995,09:45 pm,30 min.,,man (pilot) &amp  woman witness stationary bright obj. w/ strobe lights in ne sky.  regular strobing pattern. faa radar negative.,scottsdale,az,33.5091667,-111.8983333
11/2/1999,12/18/1996,04:45 am,3 min.,,"man awakens, turns on tv.  sees 3x prominent green lights in triangular formation through blinds. outside, sees other strange lights.",salinas,ca,36.6777778,-121.6544444
12/9/2000,12/18/1998,12:25 am,5 to 10 seconds,,if this was an aircraft i've no knowledge of the type.,ironton,oh,38.5366667,-82.6830556
11/2/1999,12/19/1995,05:40 pm,1 hour,,"man, other residents, witness bizarre cluster of lights--""red in middle, 3 white lights around it.""  reported to flicker.",indian heights,in,40.4272222,-86.1255556
11/2/1999,12/19/1996,10:45 pm,30 sec.,,"man repts. black, round obj. passing from s to n below solid clouds in w sky. no lights, silent, smaller than moon. aircraft landing s.",seattle,wa,47.6063889,-122.3308333
1/12/2012,12/19/2011,01:30 am,2-4 sec,,"while in hot tub,looking east saw object,bar or cigar shaped, traveling north to south  it veered off to south east speed like falling",pella,ia,41.4080556,-92.9161111
11/2/1999,1/2/1995,06:25 am,15 seconds,,"man witnesses huge, ""coin shaped"" orange object.  accelerated very fast and streaked off ""like lightning.""",new port richey,fl,28.2438889,-82.7194444
1/7/2000,1/2/2000,09:36 pm,approx 10sec,,pulsing colored lights streaking across the sky northwest to southeast,claremont,ca,34.0966667,-117.7188889
11/2/1999,12/20/1995,11:50 pm,3 min.,,"man &amp  daughter witness triangular obj. w/ 3 very bright white lights on the corners, 1 red light in the cntr. obj. circled their home!",schnecksville,pa,40.6677778,-75.6075
7/25/2004,12/20/2003,10:00 pm,15 minutes,,humming and 3 red floating spheres in my son's room,paris,tx,33.6608333,-95.5552778
1/12/2012,12/20/2011,03:45 am,more then 10 minutes,,"two white lights going in a circular motion near shorewood,il",shorewood,il,41.52,-88.2016667
1/12/2012,12/20/2011,04:00 pm,several min.,,string of red lights evenly spaced travleling across the sky no sounds at all there was a plane or something following no noise,crooked river ranch,or,44.4247222,-121.2372222
2/4/2013,12/20/2012,01:00 am,20 minutes,,no object.,conneaut,oh,41.9475,-80.5544444
5/15/2006,12/21/1999,03:00 am,two hours,,two hour light show of craft over pacific ocean  on last full moon in 1999,point arena,ca,38.9088889,-123.6919444
11/2/1999,1/22/1995,05:50 pm,2 sec.,,"u.s. dept. of energy empl. w/ wife &amp  son witness two green spheres,  joined by ""gold light,"" streak overhead.",vienna,va,38.9011111,-77.2655556
11/2/1999,1/22/1995,08:00 pm,5 sec.,,"man witnesses triangular obj. w/ dull, or ""subdued"" lights streak overhead.",seattle,wa,47.6063889,-122.3308333
11/2/1999,1/22/1995,09:45 pm,3 min.,,"man and two sons driving south on i-405 near s-curves witness two pairs of very bright,  motionless lights.",renton,wa,47.4830556,-122.2158333
11/2/1999,12/2/1996,07:00 pm,15 min.,,"mother, 2 daughters, rept. 2x large white lights in sky, surrounded by multiple white and blue, smaller lights.",sumner,il,38.7169444,-87.8613889
7/5/2008,12/2/2001,10:00 pm,10 minutes,,((hoax??))comet like white bright vapor,falcon,tx,26.6377778,-99.0952778
3/21/2003,1/22/2003,10:30 pm,1 to five min.,,i was driving home and saw something out of the ordinary that scared me.,prospect,ct,41.5022222,-72.9791667
2/14/2008,1/22/2008,05:45 am,3 seconds,,"while still dark one morning, lights of many colors were flashing and shining through the window shade of my house.  by the time i step",baton rouge,la,30.4505556,-91.1544444
1/24/2014,1/22/2014,10:30 am,2 seconds,,very loud boom and earth shake in south florida today.,miramar,fl,25.9869444,-80.2325
1/24/2014,1/22/2014,07:00 pm,20-30 minutes,,2 stationary circular orange lights in the sky for 20-30 minutes.,maricopa,az,33.0580556,-112.0469444
11/2/1999,12/22/1996,01:45 am,2 sec.,,"young man sees a very brigh ""ball of blue light"" out his window.  it looked like a ""single bubble of light, w/ 3-dimensional depth.""",reno,nv,39.5297222,-119.8127778
1/3/2001,12/23/2000,08:00 pm,1-6 min,,cop car lights at 500 to 1000  feet above seattle.,seattle,wa,47.6063889,-122.3308333
3/17/2004,12/23/2003,09:30 pm,on and off for a few hour,,"expalination of 'lights' seen from old bridge, nj on 12/23/2003",old bridge,nj,40.4147222,-74.3658333
2/18/2001,12/24/2000,09:20 pm,15 - 20 minutes,,"swooshing sound, bright white/red lights,light up whole area obove and surrounding house in idaho",st. maries,id,47.3144444,-116.5616667
1/10/2009,12/24/2008,12:00 pm,20 minutes,,4 lights that seperated and spun around.,edinburgh,in,39.3541667,-85.9666667
6/20/2011,12/25/1969,09:38 pm,90-120 sec,,single laser-like red light traced numerous straight-line and angular 'waypoints' in  christmas night sky,rogersville,al,34.8255556,-87.2947222
11/2/1999,12/26/1996,10:40 pm,30 min.,,"woman &amp  brother witness 3x peculiar hovering lights.  one of the lights extinguished, other two moved slowly behind nearby trees.",fontana,ca,34.0922222,-117.4341667
3/11/2003,12/26/2002,04:05 am,20minutes,,i was wakened with a bright light shining on the overhang of the  roof of the townhouse next to me.  i thought about it and couldn't fi,irvine,ca,33.6694444,-117.8222222
2/14/2010,12/26/2009,12:30 pm,2 min.,,see above statmement.,pittsburgh,pa,40.4405556,-79.9961111
2/4/2013,12/26/2012,10:14 pm,5 seconds,,heard a very loud whoosh noise.,murfreesboro,tn,35.8455556,-86.3902778
2/14/2006,12/27/2005,06:30 pm,approx. 5 mins.,,low flying and slow moving (and quiet) jet shaped crafts with strange light configurations.,lee,ma,42.3041667,-73.2486111
9/2/2005,12/28/1993,01:00 am,5 min.,,seconds to us are hrs to them.the 5th alien or the mantis w/flies eyes.have others seen it ?????,topton,ms,32.4672222,-88.6022222
3/4/2008,12/28/1995,04:35 am,-5min,,too close for comfort!,indian falls,ny,43.025,-78.3980556
1/10/2014,12/28/2013,07:00 pm,>30 minutes,,reddish-orange glowing orb seen fadeing out and crashing into the water.,myrtle beach,sc,33.6888889,-78.8869444
7/25/2004,12/29/1979,02:00 am,8 min.?,,light moving oddly in straight line.,waterloo,ia,42.4927778,-92.3427778
8/5/2001,12/29/1996,07:00 pm,5 min.,,"relayed rept.:  2x men trapping witness silent, black triangular obj. overhead.  3-4 white strobe lights  blue&amp red lights.  no sound.",hartsburg,mo,38.695,-92.3086111
1/22/2000,12/29/1999,04:15 am,30-45min +,,"on 29dec99, my 13yr old son and i both experienced intruders (beings) in our individual bedrooms.  on 03jan00 my 16yr old daughter tele",stockbridge,ga,33.5441667,-84.2338889
2/14/2010,12/29/2009,08:15 pm,few minutes,,"five lights, moving as one, slowly at low altitude from west to east across us-231, with no normal aviation lighting.",pine level,al,32.0677778,-86.0597222
2/14/2010,12/29/2009,09:00 pm,30 seconds,,"shooting star like a flare with a trail, traveling north to south and then it burned out.  space junk?",kittanning,pa,40.8163889,-79.5222222
3/2/2004,12/30/1990,05:00 am,2 min?,,"beings in room  one on bed, one materializing",madison,wi,43.0730556,-89.4011111
11/2/1999,12/30/1994,04:00 am,3 minutes,,"woman sees bright ""star,"" which moves toward her, glides overhead. looks like "" three tubes joined together.""",roy,wa,47.0044444,-122.5386111
11/2/1999,12/30/1995,01:00 am,15 min.,,"woman's attention drawn to very faint light over puget sound.  obj. grows brighter, then suddenly moves to w and disappears.",seattle,wa,47.6063889,-122.3308333
11/2/1999,12/30/1996,02:30 am,90 sec.,,"man witnesses large, brilliantly bright, silver-white light, size of a full moon, passing overhead.  obj. flashed, then disappeared.",elkins,wv,38.9258333,-79.8469444
9/2/2005,12/31/1990,10:30 pm,15-25 min.,,red sphere hovering the columbian river on new years eve 1990,chinook,wa,46.2730556,-123.9441667
11/2/1999,12/31/1994,06:32 pm,12 minutes,,"father, daughter, and  witnesses (astronomers) observe red obj. that ejected smaller objects.  obj. shot off to se.",gig harbor,wa,47.3294444,-122.5788889
11/20/2001,12/31/1994,10:00 pm,5 minutes,,"man &amp  wife, and four neighbors witnessed a strange ball of red, orange, and white light for 5 min.. left trail",orem,ut,40.2969444,-111.6938889
1/12/2012,12/31/2011,06:30 pm,5 minutes,,muted red glowing sphere changed directions then vanished,arvada,co,39.8027778,-105.0869444
1/10/2014,12/31/2013,07:00 am,1-2 minutes,,helicopters flying over dayton.  started about 12:00am to 7:00 am.  could not see the type but they were very loud like military.,dayton,oh,39.7588889,-84.1916667
11/2/1999,1/23/1995,06:15 am,30 sec.,,man calls to report he &amp  wife witnessed metallic disc hovering just above pug. sound. streaks off. (no 2nd call),seattle,wa,47.6063889,-122.3308333
11/2/1999,12/3/1995,09:00 pm,15 min.,,"woman, son, &amp  friend witness multiple, rapid red flashes in clouds in distance, then overhead.  no sound.  other repts. to 911.",boring,or,45.43,-122.3736111
11/2/1999,1/23/1995,11:42 pm,20 min.,,rusk co. sheriff's office reports officer's observation of hovering light in se sky.  (possible star?),ladysmith,wi,45.4630556,-91.1038889
11/2/1999,12/3/1996,04:00 am,5 sec.,,"woman sees 3x very rapid pulses of light that fill the house and surrounding area. gold, then blue, then distinctly green. no thunder.",north bend,wa,47.4958333,-121.7855556
2/18/2011,1/23/1996,08:15 pm,15 min.,,,minot,nd,48.2325,-101.2958333
2/16/2000,12/3/1999,02:15 am,1hrs 45min,,abduction to underground facility.,rochester,ny,43.1547222,-77.6158333
2/14/2006,1/23/2006,09:50 pm,60-90 seconds,,i was watching tv and wanting to stretch my legs i walked over to my front window and looked outside.  as usual there was nothing to se,wyckoff,nj,41.0094444,-74.1733333
1/5/2011,12/3/2008,03:00 pm,minutes,,object/lifeform floating silently in our house glided into next room,omaha,ne,41.2586111,-95.9375
1/10/2009,12/3/2008,11:30 pm,3 seconds,,     i was driving home from work and as i was traveling on the state roadway approaching an overpass for the train i noticed a white brigh,coolidge,az,32.9777778,-111.5169444
11/2/1999,1/24/1995,04:42 am,108 min.,,"a woman and daughter witnessed 2 large ships, and a cluster of white ships.  clamshell in shape.  tema rept..",lebanon,tn,36.2080556,-86.2911111
11/2/1999,1/24/1995,09:00 pm,20 sec.,,"father and son witness ""tube filled with tiny lights"" streak w to e overhead.  20 sec. sighting.  witnesses.",midland,tx,31.9972222,-102.0775
11/2/1999,1/24/1995,09:15 pm,9 sec.,,"man witnesses  "" yellow string of lights"" streak from horizon to horizon in 8-9 sec.  7 or 8 objects in group.",san angelo,tx,31.4636111,-100.4366667
11/2/1999,12/4/1995,10:16 pm,25 min,,"woman rpts a very bright stationary light in se sky ""below orion's belt"" that looks ""like a horseshoe."" alternating red, blue, white.",geneva,ny,42.8688889,-76.9780556
12/5/2013,12/4/2013,11:00 pm,1 minutes,,"orange circular bright light in parallel motion , light got dimmer until it disappeared",coral gables,fl,25.7211111,-80.2686111
11/2/1999,1/25/1996,09:15 pm,12 min.,,"young boy reports being witness to the strange obj. reported by others over redding.  obj. was circular, w/ no lights, not an aircraft.",redding,ca,40.5866667,-122.3905556
11/2/1999,1/25/1996,09:30 pm,30 min.,,young man and his mother were witness to approximately 4 objects overhead in a formation.,phoenix,az,33.4483333,-112.0733333
11/2/1999,12/5/1996,10:00 pm,30 sec.,,"man looking w over pug. sound from high-rise apt. sees large ""flattened oval of red/orange light"" arch across sky in perfect arc.",seattle,wa,47.6063889,-122.3308333
3/19/2009,1/25/2009,07:00 pm,5min,,"saw an orb flying around 70,000 feet. it was flying from west to east. once it was over the ocean it accelerated forward very fast.",miami,fl,25.7738889,-80.1938889
12/12/2013,12/5/2013,07:00 pm,3-5 minutes,,"large orange light seen in night sky from davenport, fl.",davenport,fl,28.1611111,-81.6019444
12/12/2013,12/5/2013,11:52 pm,1 second,,"house shaken by a loud ""boom"" sound.",port ludlow,wa,47.9255556,-122.6822222
11/2/1999,12/6/1995,05:00 pm,4 min.,,"father &amp  daughter driving in car witness ""beautiful electric blue"" triang. shaped obj. in evening sky.  flipped on side, maneuvered.",bothell,wa,47.7625,-122.2041667
11/2/1999,12/6/1995,10:45 pm,2 sec.,,"five youth watching tv see a ""black obj., w/ no lights"" streak by apt. window.  later, saw beam of light over pond.  called 911.",lynnwood,wa,47.8211111,-122.3138889
12/12/2013,12/6/2013,02:00 am,1 second,,"a green light lit up the entire sky for about 2 seconds, then a smaller blue light flashed.",american fork,ut,40.3769444,-111.795
12/12/2013,12/6/2013,10:30 pm,3 seconds,,night sky suddenly flashes bright blue,daly city,ca,37.7058333,-122.4608333
12/16/2005,12/7/2005,12:50 am,1 second,,blue light impact - marysville,marysville,wa,48.0519444,-122.1758333
12/20/2012,12/7/2012,08:40 pm,2-5 minutes,,unexplained experience in spokane valley.,spokane valley,wa,47.6733333,-117.2383333
11/2/1999,1/28/1995,10:53 am,15 sec.,,two tennis players witness very bright object streak across sky at high altitude.  no visible wings. good rept.,burbank,ca,34.1808333,-118.3080556
2/11/2003,1/28/2003,12:45 pm,20 sec.,,two men report witnessing multiple tiny objects apparently tracking a usaf c-17 landing at mcchord afb.,puyallup,wa,47.1855556,-122.2916667
