date_documented,date,time,described_duration,described_ufo,full_description,city,state,latitude,longitude
10/20/2005,10/16/2005,07:48 pm,1 minute,,"experienced observer witnesses a strange, amorphous, unlighted object streak across the sky, stop, and then simply disappear.",santa maria,ca,34.9530556,-120.4347222
11/2/1999,10/17/1995,09:38 pm,5 min.,,"man witnesses strange white, oval-shaped light being pursued by 2 fast aircraft.  very high, fast.  obj dramatically outpaced a/c.",crescent city,ca,41.7561111,-124.2005556
10/20/2005,10/17/2005,01:40 am,1 minute,,"two adults witness peculiar yellow flare, which suddenly accelerates and streaks away.",arlington,tx,32.7355556,-97.1077778
11/2/1999,10/18/1995,06:45 pm,1 minute,,"man &amp  wife witness ""large white luminous ball w/ bright blue tail"" descend from w to e in n sky.  moved very rapidly.  good rpt.",grass lake,mi,42.2508333,-84.2130556
7/23/2000,10/18/1999,03:00 am,5-6 min,,other happneings other than ufo's,latrobe,pa,40.3211111,-79.3797222
11/21/2010,10/18/2010,07:30 am,10 seconds,,"a possible disk shaped object is seen over honeoye falls, ny.",honeoye falls,ny,42.9522222,-77.5905556
11/2/1999,10/19/1995,05:30 am,1 minute,,"woman repts. being awakened by strange ""whine, like a jet.""  went outside, saw bizarre delta-shaped craft. obj. changed shape!",rocky point,wa,47.5930556,-122.6672222
11/2/1999,10/19/1995,09:15 am,3 min.,,"fed. empl. (pilot &amp  a/c mech.) w/ 2 co-workers witness 2 metallic discs approach from e sky below contrails, turn, streak. exclnt.",vancouver,wa,45.6388889,-122.6602778
11/2/1999,10/19/1995,07:15 pm,45 sec.,,"man's dog suddenly starts acting very bizarrely, threatens to bite him.  he takes dog outside, witnesses bizarre light hover, leave.",beaverton,or,45.4872222,-122.8025
12/2/2000,10/19/2000,05:28 am,2sec,,bright light moves in 90 degree direction,waxhaw,nc,34.9244444,-80.7436111
11/2/2004,10/19/2004,08:00 pm,over 1 hr.,light,,grand island,ne,40.925,-98.3416667
10/31/2008,10/19/2008,10:30 pm,3 min,,((hoax??))  single craft rose from east quickly crossed toward west,doylestown,pa,40.31,-75.1302778
10/19/2011,10/19/2011,03:20 am,1 minute,,neon flash then a fast fading jetstream like trail,lennox,sd,43.3541667,-96.8916667
3/19/2009,10/20/1973,12:00 am,1/2 hour,,5-6 star like lights moved single file across the sky 10/20/1973,new york city,ny,40.7141667,-74.0063889
2/12/2004,10/20/1975,03:15 am,10 minutes,,large wheel of no substance flickering and copying itself.,watkins glen,ny,42.3805556,-76.8736111
10/28/2002,10/20/2002,04:00 pm,1/3 second (est.),,airline pilot calls to inquire about fox 23 video  complains that u. s. government apparently is doing nothing.,albany,ny,42.6525,-73.7566667
